DiffId;Project;Commit;SrcFile;DstFile;Matcher;SrcStart;SrcEnd;DstStart;DstEnd;NodeType;Action;Result
115466;eclipse.jdt.core;0fef9e356bfc246dbfd0c9cfea1ba0d8941a3dcb;org.eclipse.jdt.compiler.tool/src/org/eclipse/jdt/internal/compiler/tool/Util.java;org.eclipse.jdt.compiler.tool/src/org/eclipse/jdt/internal/compiler/tool/Util.java;MTDIFF;91;91;91;91;42;UPD;Ok
132130;eclipse.jdt.core;10cca24df480719d1a06391159cf8b7088d76566;org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/JavadocTest.java;org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/JavadocTest.java;MTDIFF;65;65;65;65;40;UPD;Ok
350655;hibernate-search;1113133112a6f5c46efecadfdfa41131f66e2919;hibernate-search/src/main/java/org/hibernate/search/remote/operations/impl/SerializableNumericField.java;hibernate-search/src/main/java/org/hibernate/search/remote/operations/impl/SerializableNumericField.java;MTDIFF;53;53;53;53;42;UPD;Ok
386711;spring-roo;1435a75a0e495ac29a0c587454f92bad064b9469;addon-gwt/src/main/java/org/springframework/roo/addon/gwt/GwtTypeServiceImpl.java;addon-gwt/src/main/java/org/springframework/roo/addon/gwt/GwtTypeServiceImpl.java;MTDIFF;251;251;282;282;42;UPD;Nok
244343;hbase;14dd64dacef318966ac251af07c4983fe19d7e1f;src/test/org/apache/hadoop/hbase/TestTable.java;src/test/org/apache/hadoop/hbase/TestTable.java;MTDIFF;77;77;94;94;42;UPD;Nok
135589;eclipse.jdt.core;15b09e3657f237aa7526b08315f9749226cbc20e;org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/Scanner.java;org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/parser/Scanner.java;MTDIFF;2261;2261;2260;2260;27;UPD;Nok
377693;spring-roo;16e90580185fcc78472d25c16b7c0b8ff25c7b13;addon-gwt/src/main/java/org/springframework/roo/addon/gwt/GwtPath.java;addon-gwt/src/main/java/org/springframework/roo/addon/gwt/GwtPath.java;MTDIFF;50;50;68;68;42;UPD;Ok
12902;activemq;170b86a86181a38d7afecb867221aa6b8996e205;activemq-core/src/main/java/org/apache/activemq/broker/AbstractLocker.java;activemq-core/src/main/java/org/apache/activemq/broker/AbstractLocker.java;MTDIFF;34;34;34;34;9;UPD;Ok
250950;hibernate-orm;17de173cb5334d866f1886d3e057f49a6c987bad;hibernate-core/src/test/java/org/hibernate/test/hbm/index/IndexTest.java;hibernate-core/src/test/java/org/hibernate/test/hbm/index/IndexTest.java;MTDIFF;15;15;13;13;40;UPD;Ok
150961;eclipse.jdt.core;180e4e45746dd1c7939f8d071838acd40ff207da;org.eclipse.jdt.core/search/org/eclipse/jdt/core/search/SearchMatch.java;org.eclipse.jdt.core/search/org/eclipse/jdt/core/search/SearchMatch.java;MTDIFF;36;36;70;70;43;UPD;Nok
388466;spring-roo;1827173b2e9b9dce7b79adc61b3d2dac9620c7d1;addon-entity/src/main/java/org/springframework/roo/addon/entity/IdentifierMetadata.java;addon-entity/src/main/java/org/springframework/roo/addon/entity/IdentifierMetadata.java;MTDIFF;139;139;140;140;43;UPD;Nok
128255;eclipse.jdt.core;18c9ee28439dc99049f5f8ecbf6109b62307dc52;org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/JavadocTest_1_5.java;org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/JavadocTest_1_5.java;MTDIFF;2746;2746;2765;2765;45;UPD;Nok
233253;hbase;18d7fff18882caa49522994cb294abc18289b12d;src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java;src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java;MTDIFF;729;729;743;743;42;UPD;Ok
165493;eclipse.jdt.core;1cce623392dc2abad468b342ade5233f38d20f6c;org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/problem/ProblemReporter.java;org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/problem/ProblemReporter.java;MTDIFF;2364;2364;2334;2334;40;UPD;Ok
245479;hibernate-orm;1d41a3f761d7af01812b3553a9c68ba5532fca35;hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/metadata/CollectionMetadataGenerator.java;hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/metadata/CollectionMetadataGenerator.java;MTDIFF;1031;1031;1040;1040;42;UPD;Ok
253835;hibernate-orm;1f24fa6354220b7d263b86a75455e47bfdc1bc2a;hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/PutFromLoadValidator.java;hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/PutFromLoadValidator.java;MTDIFF;874;874;619;619;42;UPD;Nok
124834;eclipse.jdt.core;2254b84309b2e5733188a240f2a612a1b002f2ba;org.eclipse.jdt.compiler.apt.tests/src/org/eclipse/jdt/compiler/apt/tests/ModelTests.java;org.eclipse.jdt.compiler.apt.tests/src/org/eclipse/jdt/compiler/apt/tests/ModelTests.java;MTDIFF;66;66;66;66;42;UPD;Nok
374956;spring-roo;2366cead33f4d65f58d1a7542629b1ed9caddf29;addon-dbre/src/main/java/org/springframework/roo/addon/dbre/model/Column.java;addon-dbre/src/main/java/org/springframework/roo/addon/dbre/model/Column.java;MTDIFF;40;40;40;40;42;UPD;Ok
375093;spring-roo;2366cead33f4d65f58d1a7542629b1ed9caddf29;addon-dod/src/main/java/org/springframework/roo/addon/dod/DataOnDemandMetadata.java;addon-dod/src/main/java/org/springframework/roo/addon/dod/DataOnDemandMetadata.java;MTDIFF;264;264;259;259;42;UPD;Ok
237163;hbase;23cbf39343741a479059af2a91d4357e01531dba;src/test/org/apache/hadoop/hbase/regionserver/wal/TestHLog.java;src/test/org/apache/hadoop/hbase/regionserver/wal/TestHLog.java;MTDIFF;201;201;199;199;42;UPD;Nok
199114;hbase;2452d3861fb56c9ce7d748c32230b2df7798efc0;hbase-server/src/test/java/org/apache/hadoop/hbase/security/visibility/TestVisibilityLabelsWithDeletes.java;hbase-server/src/test/java/org/apache/hadoop/hbase/security/visibility/TestVisibilityLabelsWithDeletes.java;MTDIFF;770;770;698;698;42;UPD;Nok
294285;hibernate-orm;24edf42c04a72bcc0d5f13203e43f227165b6f0d;hibernate-core/src/main/java/org/hibernate/metamodel/source/hbm/BindingCreator.java;hibernate-core/src/main/java/org/hibernate/metamodel/source/hbm/BindingCreator.java;MTDIFF;749;749;840;840;42;UPD;Ok
51381;commons-lang;2550d4cfa283603a23283c5495bfab75deff02dc;src/main/java/org/apache/commons/lang3/text/translate/OctalUnescaper.java;src/main/java/org/apache/commons/lang3/text/translate/OctalUnescaper.java;MTDIFF;54;54;55;55;42;UPD;Nok
190413;hbase;25dfc112dd76134a9a3ce1f2e88c4075aef76557;hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestDefaultMemStore.java;hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestDefaultMemStore.java;MTDIFF;479;479;472;472;42;UPD;Ok
77301;commons-math;262fe4c088036994607ba1d35d676deb500e2ea3;src/main/java/org/apache/commons/math/linear/SingularValueDecompositionImpl.java;src/main/java/org/apache/commons/math/linear/SingularValueDecompositionImpl.java;MTDIFF;106;106;255;255;42;UPD;Nok
132670;eclipse.jdt.core;263941e543d760da46f092c40a60d9eb4c5dc908;org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/TypeBinding.java;org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/TypeBinding.java;MTDIFF;78;78;77;77;5;UPD;Ok
253330;hibernate-orm;2731fe541a4b297e399d46357ad9eb5bbe2d2239;hibernate-core/src/main/java/org/hibernate/dialect/Cache71Dialect.java;hibernate-core/src/main/java/org/hibernate/dialect/Cache71Dialect.java;MTDIFF;487;487;476;476;42;UPD;Ok
122234;eclipse.jdt.core;278bd24e5aaae65022c9b0e7c10b22e5ffa034b6;org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/Scribe.java;org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/Scribe.java;MTDIFF;695;695;730;730;27;UPD;Nok
230;activemq;281d600ae2f9ba6c6bc7bee0e8025698b9a76563;activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/MessageDatabase.java;activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/MessageDatabase.java;MTDIFF;1982;1982;1982;1982;74;UPD;Ok
384108;spring-roo;2870616685ab4b5b0afefff3d738d5bc739070a8;addon-web-mvc-controller/src/main/java/org/springframework/roo/addon/web/mvc/controller/details/WebMetadataServiceImpl.java;addon-web-mvc-controller/src/main/java/org/springframework/roo/addon/web/mvc/controller/details/WebMetadataServiceImpl.java;MTDIFF;192;192;194;194;42;UPD;Nok
384108;spring-roo;2870616685ab4b5b0afefff3d738d5bc739070a8;addon-web-mvc-controller/src/main/java/org/springframework/roo/addon/web/mvc/controller/details/WebMetadataServiceImpl.java;addon-web-mvc-controller/src/main/java/org/springframework/roo/addon/web/mvc/controller/details/WebMetadataServiceImpl.java;MTDIFF;203;203;200;200;42;UPD;Nok
124151;eclipse.jdt.core;29911619e9eb038f230f09e2190cd9ca1e9cfd72;org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/ConstructorDeclaration.java;org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/ast/ConstructorDeclaration.java;MTDIFF;139;139;139;139;7;UPD;Nok
96902;eclipse.jdt.core;2af56d6fe3e00a7c799ea8c6f7aeb1409e4db2f8;org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatter.java;org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatter.java;MTDIFF;306;306;284;284;42;UPD;Nok
215938;hbase;2b32678420e964146084db2a18c99c4e7e5ef7b5;hbase-client/src/main/java/org/apache/hadoop/hbase/HTableDescriptor.java;hbase-client/src/main/java/org/apache/hadoop/hbase/HTableDescriptor.java;MTDIFF;1011;1011;1001;1001;38;UPD;Nok
245101;hibernate-orm;2b79644b633634249ac7ce2d122b07acbb7f9096;hibernate-core/src/test/java/org/hibernate/test/annotations/EntityTest.java;hibernate-core/src/test/java/org/hibernate/test/annotations/EntityTest.java;MTDIFF;377;377;382;382;42;UPD;Ok
293986;hibernate-orm;2c37e01a00c8039eb801b30e309ef247c3813503;hibernate-core/src/main/java/org/hibernate/metamodel/source/annotations/entity/EntityClass.java;hibernate-core/src/main/java/org/hibernate/metamodel/source/annotations/entity/EntityClass.java;MTDIFF;126;126;229;229;42;UPD;Nok
193176;hbase;2c83d8a263ee7c6751448bcc72868da86757f7f2;hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestDefaultMemStore.java;hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestDefaultMemStore.java;MTDIFF;371;371;371;371;42;UPD;Ok
116031;eclipse.jdt.core;2d1b668da982fab23d85fda225f2e9df3073c2e1;org.eclipse.jdt.core/eval/org/eclipse/jdt/internal/eval/CodeSnippetQualifiedNameReference.java;org.eclipse.jdt.core/eval/org/eclipse/jdt/internal/eval/CodeSnippetQualifiedNameReference.java;MTDIFF;203;203;220;220;40;UPD;Ok
174232;eclipse.jdt.core;2d75cef028da9a8fe8c9804711f5a598b2019a3c;org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/newbuilder/AbstractImageBuilder.java;org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/newbuilder/AbstractImageBuilder.java;MTDIFF;64;64;66;66;38;UPD;Nok
