diffid;name;srcnodes;dstnodes;actions;name
237697;MtDiff;5500;2670;2891;hbase
237676;MtDiff;1293;1251;42;hbase
237686;MtDiff;2064;1861;203;hbase
237683;MtDiff;1822;1452;375;hbase
237678;MtDiff;856;1;855;hbase
237680;MtDiff;328;1;327;hbase
237687;MtDiff;198;1;197;hbase
237699;MtDiff;167;164;3;hbase
237711;MtDiff;1873;1857;16;hbase
237725;MtDiff;3880;3880;2;hbase
237701;MtDiff;599;1;598;hbase
237652;MtDiff;387;399;13;hbase
237662;MtDiff;898;959;106;hbase
237664;MtDiff;527;565;111;hbase
237660;MtDiff;481;479;2;hbase
237669;MtDiff;1119;1227;174;hbase
237665;MtDiff;1028;1035;18;hbase
237667;MtDiff;821;829;17;hbase
237688;MtDiff;1832;1724;140;hbase
237673;MtDiff;3657;1;3656;hbase
237677;MtDiff;2342;2318;24;hbase
237694;MtDiff;5992;5764;433;hbase
237668;MtDiff;1065;959;106;hbase
237671;MtDiff;1177;1063;114;hbase
237674;MtDiff;47;1;46;hbase
237679;MtDiff;98;1;97;hbase
237681;MtDiff;329;1;328;hbase
237685;MtDiff;1168;1;1167;hbase
237690;MtDiff;954;1;953;hbase
237689;MtDiff;338;1;337;hbase
237691;MtDiff;72;70;2;hbase
237692;MtDiff;508;1;507;hbase
237693;MtDiff;306;1;305;hbase
237695;MtDiff;1164;1;1163;hbase
237698;MtDiff;830;1;829;hbase
237703;MtDiff;1138;1;1137;hbase
237705;MtDiff;239;1;238;hbase
237707;MtDiff;118;1;117;hbase
237712;MtDiff;508;1;507;hbase
237714;MtDiff;346;1;345;hbase
237715;MtDiff;68;1;67;hbase
237717;MtDiff;43;1;42;hbase
237722;MtDiff;928;1;927;hbase
237719;MtDiff;42;1;41;hbase
237783;MtDiff;32;1;31;hbase
237785;MtDiff;34;1;33;hbase
237786;MtDiff;220;1;219;hbase
237787;MtDiff;130;1;129;hbase
237788;MtDiff;119;1;118;hbase
237789;MtDiff;78;1;77;hbase
237795;MtDiff;760;1;759;hbase
237796;MtDiff;1052;1;1051;hbase
237791;MtDiff;67;1;66;hbase
237792;MtDiff;164;1;163;hbase
237790;MtDiff;21;1;20;hbase
237794;MtDiff;223;1;222;hbase
237793;MtDiff;84;1;83;hbase
237798;MtDiff;1102;1;1101;hbase
237802;MtDiff;602;458;234;hbase
237799;MtDiff;422;341;81;hbase
237804;MtDiff;421;419;4;hbase
237778;MtDiff;7860;7822;41;hbase
237805;MtDiff;336;336;2;hbase
237801;MtDiff;642;1;641;hbase
237807;MtDiff;1378;1;1377;hbase
237808;MtDiff;255;255;6;hbase
237811;MtDiff;792;775;24;hbase
237841;MtDiff;3623;3662;940;hbase
237809;MtDiff;699;697;3;hbase
237812;MtDiff;652;644;13;hbase
237810;MtDiff;794;1;793;hbase
237813;MtDiff;504;493;21;hbase
237817;MtDiff;1166;1166;12;hbase
237815;MtDiff;443;1;442;hbase
237816;MtDiff;1274;1;1273;hbase
237823;MtDiff;990;1;989;hbase
237826;MtDiff;1068;1066;3;hbase
237822;MtDiff;876;1;875;hbase
237837;MtDiff;997;968;77;hbase
237831;MtDiff;878;841;57;hbase
237825;MtDiff;124;120;5;hbase
237833;MtDiff;804;811;12;hbase
237828;MtDiff;671;662;12;hbase
237844;MtDiff;1947;1886;67;hbase
237865;MtDiff;5887;5890;33;hbase
237849;MtDiff;251;270;19;hbase
237857;MtDiff;5573;6280;726;hbase
237886;MtDiff;9212;9329;119;hbase
237887;MtDiff;16861;16861;2;hbase
237856;MtDiff;293;302;18;hbase
237867;MtDiff;1297;1330;37;hbase
237858;MtDiff;445;492;51;hbase
237861;MtDiff;630;652;23;hbase
237860;MtDiff;438;440;4;hbase
237871;MtDiff;1778;1822;44;hbase
237869;MtDiff;832;860;37;hbase
237885;MtDiff;1246;1260;14;hbase
237882;MtDiff;1332;1297;57;hbase
237872;MtDiff;331;332;1;hbase
237875;MtDiff;1;59;60;hbase
237880;MtDiff;273;299;26;hbase
237883;MtDiff;700;725;25;hbase
237888;MtDiff;1884;2060;359;hbase
237897;MtDiff;5091;5148;68;hbase
237917;MtDiff;5886;5887;112;hbase
237921;MtDiff;5457;5457;0;hbase
237890;MtDiff;1;1;0;hbase
237894;MtDiff;161;179;21;hbase
237899;MtDiff;174;194;23;hbase
237898;MtDiff;1;82;83;hbase
237905;MtDiff;113;113;0;hbase
237901;MtDiff;1;130;131;hbase
237902;MtDiff;1;446;447;hbase
237903;MtDiff;1;242;243;hbase
237936;MtDiff;3200;3856;870;hbase
237920;MtDiff;3611;3623;24;hbase
237911;MtDiff;1;5573;5574;hbase
237908;MtDiff;856;862;170;hbase
237702;MtDiff;49;1;48;hbase
237704;MtDiff;444;1;443;hbase
237709;MtDiff;101;1;100;hbase
237713;MtDiff;1689;1;1688;hbase
237716;MtDiff;378;1;377;hbase
237718;MtDiff;249;1;248;hbase
237721;MtDiff;471;1;470;hbase
237720;MtDiff;259;1;258;hbase
237723;MtDiff;322;1;321;hbase
237724;MtDiff;4;1;3;hbase
237726;MtDiff;58;47;11;hbase
237727;MtDiff;549;599;54;hbase
237728;MtDiff;454;460;8;hbase
237729;MtDiff;329;335;9;hbase
237730;MtDiff;320;370;54;hbase
237734;MtDiff;439;437;2;hbase
237741;MtDiff;758;756;3;hbase
237731;MtDiff;219;215;5;hbase
237733;MtDiff;221;219;2;hbase
237732;MtDiff;178;176;2;hbase
237746;MtDiff;1132;1126;7;hbase
237737;MtDiff;768;1;767;hbase
237742;MtDiff;2154;1;2153;hbase
237739;MtDiff;649;1;648;hbase
237736;MtDiff;189;1;188;hbase
237738;MtDiff;588;1;587;hbase
237735;MtDiff;264;1;263;hbase
237740;MtDiff;624;1;623;hbase
237744;MtDiff;925;1;924;hbase
237745;MtDiff;818;1;817;hbase
237743;MtDiff;402;1;401;hbase
237748;MtDiff;190;1;189;hbase
237747;MtDiff;355;1;354;hbase
237749;MtDiff;44;1;43;hbase
237750;MtDiff;1283;1;1282;hbase
237708;MtDiff;16861;16945;575;hbase
237752;MtDiff;1645;1;1644;hbase
237758;MtDiff;5080;5061;19;hbase
237751;MtDiff;4;1;3;hbase
237753;MtDiff;512;485;31;hbase
237767;MtDiff;2389;2425;63;hbase
237754;MtDiff;285;1;284;hbase
237755;MtDiff;304;1;303;hbase
237756;MtDiff;268;1;267;hbase
237757;MtDiff;191;1;190;hbase
237759;MtDiff;1872;1;1871;hbase
237760;MtDiff;430;1;429;hbase
237761;MtDiff;525;1;524;hbase
237762;MtDiff;615;1;614;hbase
237763;MtDiff;1311;1;1310;hbase
237764;MtDiff;1119;1;1118;hbase
237765;MtDiff;893;1;892;hbase
237766;MtDiff;527;1;526;hbase
237770;MtDiff;789;1;788;hbase
237768;MtDiff;545;1;544;hbase
237771;MtDiff;4897;4838;59;hbase
237769;MtDiff;705;1;704;hbase
237772;MtDiff;154;1;153;hbase
237773;MtDiff;141;1;140;hbase
237774;MtDiff;260;1;259;hbase
237775;MtDiff;138;1;137;hbase
237776;MtDiff;140;1;139;hbase
237777;MtDiff;181;1;180;hbase
237779;MtDiff;131;1;130;hbase
237780;MtDiff;25;1;24;hbase
237781;MtDiff;71;1;70;hbase
237782;MtDiff;34;1;33;hbase
237784;MtDiff;29;1;28;hbase
237800;MtDiff;1887;1;1886;hbase
237797;MtDiff;1;1;0;hbase
237806;MtDiff;533;531;2;hbase
237820;MtDiff;2254;2247;254;hbase
237803;MtDiff;431;243;189;hbase
237830;MtDiff;3856;3853;3;hbase
237847;MtDiff;1577;1717;474;hbase
237824;MtDiff;1169;954;487;hbase
237814;MtDiff;468;469;5;hbase
237819;MtDiff;3414;3121;325;hbase
237818;MtDiff;139;1;138;hbase
237821;MtDiff;369;345;24;hbase
237827;MtDiff;109;107;3;hbase
237835;MtDiff;867;893;34;hbase
237832;MtDiff;1119;1119;0;hbase
237829;MtDiff;1189;1;1188;hbase
237845;MtDiff;3417;3433;31;hbase
237834;MtDiff;429;429;9;hbase
237842;MtDiff;1451;1452;119;hbase
237839;MtDiff;1543;1541;2;hbase
237836;MtDiff;1;1;0;hbase
237840;MtDiff;1111;1109;3;hbase
237838;MtDiff;928;1;927;hbase
237859;MtDiff;5890;5885;21;hbase
237862;MtDiff;9329;9306;23;hbase
237852;MtDiff;1114;1119;9;hbase
237843;MtDiff;499;1028;538;hbase
237851;MtDiff;446;550;114;hbase
237846;MtDiff;628;659;63;hbase
237848;MtDiff;1038;1065;27;hbase
237884;MtDiff;3864;4181;586;hbase
237855;MtDiff;1291;1293;7;hbase
237850;MtDiff;1;13;14;hbase
237868;MtDiff;1863;1873;10;hbase
237854;MtDiff;351;371;20;hbase
237870;MtDiff;5457;5500;43;hbase
237928;MtDiff;8623;8763;140;hbase
237863;MtDiff;1038;1038;0;hbase
237866;MtDiff;1098;1114;17;hbase
237864;MtDiff;2060;2064;5;hbase
237878;MtDiff;3405;3414;11;hbase
237923;MtDiff;7743;7860;166;hbase
237881;MtDiff;2283;2389;106;hbase
237896;MtDiff;5148;4897;373;hbase
237909;MtDiff;16654;16861;245;hbase
237918;MtDiff;8449;9212;763;hbase
237873;MtDiff;1962;1278;827;hbase
237876;MtDiff;1291;1291;0;hbase
237874;MtDiff;1;83;84;hbase
237877;MtDiff;1;63;64;hbase
237879;MtDiff;211;235;24;hbase
237889;MtDiff;3146;3405;259;hbase
237919;MtDiff;16418;16654;236;hbase
237904;MtDiff;5992;5992;0;hbase
237891;MtDiff;1884;1884;0;hbase
237914;MtDiff;5887;5886;114;hbase
238089;MtDiff;4;4;0;hbase
237893;MtDiff;429;429;1;hbase
237892;MtDiff;1;104;105;hbase
237895;MtDiff;1;293;294;hbase
237900;MtDiff;158;154;24;hbase
237924;MtDiff;674;72;643;hbase
237916;MtDiff;1747;1863;128;hbase
237915;MtDiff;214;263;62;hbase
237922;MtDiff;2342;2342;1;hbase
237946;MtDiff;7717;7717;1;hbase
237932;MtDiff;8337;8449;112;hbase
237942;MtDiff;5883;5887;13;hbase
237937;MtDiff;5871;5883;24;hbase
237933;MtDiff;3729;3864;160;hbase
237943;MtDiff;1872;1872;0;hbase
237939;MtDiff;3722;3729;17;hbase
237955;MtDiff;5414;5444;45;hbase
237938;MtDiff;343;356;15;hbase
237951;MtDiff;1872;1872;17;hbase
237941;MtDiff;320;320;1;hbase
237947;MtDiff;1;230;231;hbase
237944;MtDiff;1;24;25;hbase
237949;MtDiff;273;275;4;hbase
237953;MtDiff;360;339;21;hbase
237957;MtDiff;330;330;28;hbase
237962;MtDiff;937;925;16;hbase
237976;MtDiff;6124;6124;0;hbase
237972;MtDiff;3857;3880;23;hbase
237965;MtDiff;847;883;38;hbase
237984;MtDiff;5385;5387;2;hbase
237974;MtDiff;960;1068;236;hbase
237987;MtDiff;5375;5385;10;hbase
237971;MtDiff;1296;1291;25;hbase
237975;MtDiff;1884;1884;0;hbase
237997;MtDiff;6158;6124;219;hbase
237988;MtDiff;3983;3983;0;hbase
237983;MtDiff;2254;2254;0;hbase
237981;MtDiff;1;1643;1644;hbase
237993;MtDiff;3559;3353;522;hbase
237991;MtDiff;1296;1296;2;hbase
238001;MtDiff;8154;8150;4;hbase
237990;MtDiff;301;304;3;hbase
237994;MtDiff;1107;1119;21;hbase
237996;MtDiff;786;789;3;hbase
237998;MtDiff;696;705;18;hbase
238016;MtDiff;7710;7710;2;hbase
238011;MtDiff;5350;5375;26;hbase
238000;MtDiff;563;712;153;hbase
238029;MtDiff;4447;4459;12;hbase
238014;MtDiff;4917;4982;92;hbase
238008;MtDiff;42;43;3;hbase
